"レコード番号","店名","ジャンル","予算","店までの所要時間（だいたい）","お店のURL、おすすめポイントなど（詳しい情報ほどありがたいです）","URL（食べログのURLなど）","住所","画像URL","店名よみがな","味","コスパ","提供の早さ","雰囲気","分煙"
"13","魚河岸千両 日本橋店","和食","1000円から1500円","5","ネギトロ丼や海鮮丼、海鮮ひつまぶしなどが食べられます。
今日のお勧めはサーモン・いくら丼を含む 3 種類でした。","http://tabelog.com/tokyo/A1302/A130204/13185064/","東京都中央区日本橋1-3-13　東京建物日本橋ビル B1Ｆ","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/55956/55956627.jpg?token=d63a699&api=v2","うおがしせんりょう にほんばしてん","5","","5","5","なし"
"12","韓豚屋 八重洲店","韓国料理","500円から1000円","5","↑拾った画像

昼からガチのサムギョプサルが食べられます。お肉は焼かれた状態でもってこられるけど。

屋台風の韓国料理屋。韓国のビデオ流す系。
店内は広くて、多分座れないことはなさそう。
メニューめちゃおおい。全部おいしそう。

ごはん大盛りOK。全品ドリンクバー付き。
多分11時台に入ると早割で50円引き。（どこにもそんなことは書いていない）","http://tabelog.com/tokyo/A1302/A130202/13133710/dtlmenu/lunch/","イカセンターが入ったビルのB2F","https://tabelog.com/imgview/original?id=r5845537239152","かんとんや やえすてん","5","5","","5","なし"
"11","ひよく亭","和食","500円から1000円","10","魚のお店。
海鮮の盛り合わせ的な「花丼」を食べました。

2Fにも席があるようですが謎の相席になりました。

海鮮丼おいしかったですが、煮付け定食が売り切れてたので次は煮付け定食に
チャレンジしたいです。","http://tabelog.com/tokyo/A1302/A130202/13011497/","お多幸に行く手前の道を左にそれた細い路地にあります。","https://tabelog.com/imgview/original?id=r5300585882554","ひよくてい","","5","","","なし"
"10","アロヒディン","アジアン","500円から1000円","5","トルコ料理。
あんまりないし、味もよいです。

11：30 までに行くと100円引き。","http://tabelog.com/tokyo/A1302/A130202/13182537/","東京都中央区日本橋2-16-4 日本橋山田ビル 1F","https://tabelog.com/imgview/original?id=r8928486488207","あろひでぃん","5","5","5","","なし"
"9","ジャスミン食堂","和食","500円から1000円","10","メインが5種類くらい、小鉢が15種類くらいを自由に選んで食べられます。
ごはん（白米or玄米）と味噌汁も別途付けることが可能（＋200円）。
1000円未満以内で満足度大変高しなランチにありつけます。
徒歩10分くらいと、ちょっと遠目なのが玉にキズですが、
お野菜を抱負に食べたい方は容赦なくお勧めでありんす。","http://tabelog.com/tokyo/A1302/A130202/13153276/dtlmap/","東京都 中央区 京橋 1-19-8 京橋OMビル 1F","https://tabelog.com/tokyo/A1302/A130202/13153276/dtlphotolst/1/smp2/#","じゃすみんしょくどう","5","5","5","5","あり"
"8","さくら井","和食","1000円から1500円","5","写真のズワイ蟹・中落ち海鮮丼が1250円です。
その他鯛丼などが1000円未満で食べられます。
4人のテーブル席2つと、カウンターが7席くらいあります。
11時半にいってテーブル空いてました。カウンターは結構埋まっています。
雰囲気が高級です。","http://retty.me/area/PRE13/ARE15/SUB1503/100000095912/","東京都中央区日本橋１丁目２番地１６ BLUE MARK８３ １F","https://img.retty.me/img_repo/l/01/3331388.jpg","さくらどん","5","","","5","なし"
"7","モンタルチーノ","アジアン","1000円から1500円","10","オフィスから近くにあります。
日替わり1000円未満を頼みました。
量も多くおいしかったです。

次はカレーを頼みたくなるお店。カレーの感想も聞きたいです。","http://tabelog.com/tokyo/A1302/A130202/13017187/","東京都中央区日本橋2-1-14 加藤ビル B1F","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/50022/50022623.jpg?token=13e445c&api=v2","もんたるちーの","5","5","","","なし"
"6","マルゼンカフェ 日本橋店","カフェ","1000円から1500円","5","創業１40年を誇る老舗書店『丸善』とのコラボレーションカフェ【MARUZEN Cafe】では、
丸善創業者の早矢仕有的が考案したとされる【元祖・早矢仕ライス】がご賞味頂けます。
濃厚なハヤシソースは正に【文明開化】を彷彿させる深い味わいです。（HPより）","http://tabelog.com/tokyo/A1302/A130202/13040182/","東京都中央区日本橋2-3-10 日本橋丸善東急ビル３F","https://tabelog.com/imgview/original?id=r7640389058107","まるぜんかふぇ にほんばしてん","5","","5","","なし"
"5","妻家房 日本橋店","韓国料理","1000円から1500円","5","コレド日本橋4F レストランフロアの奥にある韓国料理屋さん。
だいぶ奥まったところにあるので、最近までお店の存在に気づきませんでした。
店内はけっこう広くて、12時10分ごろでも待たずに、はいれました。

わたしが頼んだのは、ランチメニューの水冷麺セット(950円）。
そば粉入りの極細麺は歯ごたえがよく、鶏がらスープもさっぱりしてるのにコクがあって美味しかったです。
ランチセットに950円のラインナップも多く、ランチ1,000円以上がデフォルトのコレド価格の中では、まあまあリーズナブルでしょうか？あんまり変わらないか。

とにかく近場で韓国料理が食べたい場合は使い勝手がよいと思います！","http://tabelog.com/tokyo/A1302/A130202/13010697/","東京都中央区日本橋1-4-1 コレド日本橋 4F","https://tabelog.com/imgview/original?id=r4268886326411","さいかぼう にほんばしてん","5","5","","","なし"
"4","いけ増","和食","500円から1000円","1","日本橋タワーからすぐ近くです。
ランチは、680円から1000円未満前後。

店内は広くて席が多いです。","http://ikemasu.jp/","東京都中央区日本橋２丁目２?６ 日本橋通り二丁目ビル","https://uds.gnst.jp/rest/img/agbjbfa40000/s_0ncc.jpg?t=1524625443","いけます","5","5","","","なし"
"3","昌月苑","焼肉","500円から1000円","","ランチの焼肉定食がボリューム満点。
(並850円、大1050円、特1250円)
サラダ・ナムル・冷奴・スープがついてくる。ご飯とスープはお代わり自由。
さらに12時までに注文すれば、代金100円引き。
(こうなる → 並750円、大950円、特1150円)","https://tabelog.com/tokyo/A1302/A130201/13000514/","東京都中央区八重洲１丁目８?７","https://tabelog.com/imgview/original?id=r6098585453250","しょうげつあん","5","5","5","","なし"
"2","白玄界灘","和食","500円から1000円","","YAMADA 電機 脇の路地にある寿司屋伴 の2階です。場所はわかりにくい。

魚が美味い。ご飯はお代わり無料だった。
食べたのはサバの味噌煮。
あら煮定食を狙っていったけど、品切れだった。

ご飯、魚、味噌汁、漬物のシンプルなセットだけど
美味いし1000円未満以下で食べられるのでよし。

食べログ3.5越え","https://tabelog.com/tokyo/A1302/A130202/13111287/","東京都中央区八重洲1-5-21 加藤ビル2F","https://tabelog.com/imgview/original?id=r2235585738599","しろげんかいなだ","5","5","","","なし"
"1","土火土火","韓国料理","500円から1000円","","からすぎず、ボリュームもある。ヤクルト付いてくるのがなんか嬉しい。","https://tabelog.com/tokyo/A1302/A130202/13027629/","東京都中央区八重洲１丁目４?９","https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/72288/72288994.jpg?token=c6d094b&api=v2","どかどか","5","5","5","","なし"
